attempt,method,iteration,N,l,X,Y,pm,selection,health_mean,health_best,deviation_meanHealth_and_optimum,deviation_bestHealth_and_optimum,percent_polym_genes,arr_neutral_iter
1,1,10000,100,10,0,100,0.000507,Roulette,9.74,10,0.26,0,2.6,
2,1,10000,100,10,0,100,0.000507,Roulette,9.8,10,0.2,0,2.0,
3,1,10000,100,10,0,100,0.000507,Roulette,9.84,10,0.16,0,1.6,
1,1,10000,100,10,0,100,0.001113,Roulette,9.94,10,0.06,0,0.6,
2,1,10000,100,10,0,100,0.001113,Roulette,9.78,10,0.22,0,2.2,
3,1,10000,100,10,0,100,0.001113,Roulette,9.99,10,0.01,0,0.1,
1,1,54,100,10,0,100,0.000452,Roulette,8,8,2,2,20.0,
2,1,77,100,10,0,100,0.000452,Roulette,8,8,2,2,20.0,
3,1,33,100,10,0,100,0.000452,Roulette,7,7,3,3,30.0,
1,1,82,100,10,0,100,0.000295,Roulette,9,9,1,1,10.0,
2,1,32,100,10,0,100,0.000295,Roulette,8,8,2,2,20.0,
3,1,53,100,10,0,100,0.000295,Roulette,9,9,1,1,10.0,
1,1,10000,200,10,0,100,0.000507,Roulette,9.88,10,0.12,0,1.2,
2,1,10000,200,10,0,100,0.000507,Roulette,9.99,10,0.01,0,0.1,
3,1,10000,200,10,0,100,0.000507,Roulette,9.88,10,0.12,0,1.2,
1,1,10000,200,10,0,100,0.001113,Roulette,9.9,10,0.1,0,1.0,
2,1,10000,200,10,0,100,0.001113,Roulette,9.88,10,0.12,0,1.2,
3,1,10000,200,10,0,100,0.001113,Roulette,9.9,10,0.1,0,1.0,
1,1,10000,200,10,0,100,0.000452,Roulette,9.94,10,0.06,0,0.6,
2,1,10000,200,10,0,100,0.000452,Roulette,9.975,10,0.025,0,0.25,
